record_no,event_id,continent,country,location,event_name,event_date,event_year,event_summary,cause,impact,source_url,latitude,longitude,coordinate_meaning,coordinate_precision,fire_type,building_use,building_height_or_floors,affected_floors,building_age_status,deaths,injuries,evacuated,source_grade,verification_status,status_group,source_location_notes,source_dataset,collection_path,supplementary_url,primary_source_count,source_url_access_status,supplementary_url_access_status,retrieval_date,event_group_id,independent_event_count,heatwave_evidence,cause_completeness,population_count_2020,population_density_2020_per_km2,heatwave_days_7d,heatwave_max_t2m_c,heatwave_p90_t2m_c,heatwave_degree_days_c,heatwave_score_0_100,gee_enrichment_status
11,HRF-0011,亚洲,United Arab Emirates,Sharjah,Al Kuwait Tower fire,2010-07-06,2010,Al Kuwait Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 10。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 10。,https://doi.org/10.26616%2Fnioshfffacef201711,25.3342,55.41221,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,10,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,受限(403),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
12,HRF-0012,亚洲,South Korea,Busan,Wooshin Golden Suites fire,2010-09-01,2010,Wooshin Golden Suites fire高层建筑外立面火灾。死亡 0，受伤 5；表中记录的受影响楼层为 35。,未检索到/待核实,死亡 0，受伤 5；表中记录的受影响楼层为 35。,https://en.wikipedia.org/wiki/Wooshin_Golden_Suites_fire,35.10168,129.03004,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,35,未检索到,0,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层专题表,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
13,HRF-0013,亚洲,China,Shanghai,2010 Shanghai Jiaozhou Road high-rise fire,2010-11-15,2010,Jiaozhou Road高层建筑外立面火灾。死亡 58，受伤 71；表中记录的受影响楼层为 28。,未检索到/待核实,死亡 58，受伤 71；表中记录的受影响楼层为 28。,https://en.wikipedia.org/wiki/2010_Shanghai_fire,31.22222,121.45806,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,residential,85 m,28,未检索到,58,71,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层专题表,List of building or structure fires | List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,3,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200) | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
14,HRF-0014,亚洲,China,Shenyang,2011 Shenyang Dynasty Wanxin complex fire,2011-02-03,2011,Royal Wanxin Hotel高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,fireworks,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://www.wsj.com/articles/SB10001424052748703437304576121110358201974,41.79222,123.43278,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,hotel,未检索到,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,3,受限(401),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200) | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
15,HRF-0015,亚洲,Vietnam,Hanoi,EVN Headquarters Tower 1 fire,2011-12-16,2011,"EVN Headquarters Tower 1高层建筑火灾；建筑高度记录为 147 m。死亡人数：0。Fire occurred during construction, 11 workers injured.",未检索到/待核实,"死亡人数：0。Fire occurred during construction, 11 workers injured.",http://www.thanhniennews.com/2010/pages/20111216-skyscraper-on-fire-11-injured-in-vietnam-capital.aspx,21.0245,105.84117,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,office/government,147 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,访问失败(RemoteDisconnected),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
16,HRF-0016,亚洲,Malaysia,Kuala Lumpur,Uncompleted high rise block fire,2012-01-18,2012,Uncompleted high rise block高层建筑火灾；建筑高度记录为 未列明。死亡人数：0。,未检索到/待核实,死亡人数：0。,https://web.archive.org/web/20120120203454/http://thestar.com.my/news/story.asp?file=%2F2012%2F1%2F19%2Fnation%2F10287478&sec=nation,3.1412,101.68653,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,under construction,未检索到,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,访问失败(URLError),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
17,HRF-0017,亚洲,United Arab Emirates,Sharjah,Al Baker Tower fire,2012-01-18,2012,Al Baker Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://gulfnews.com/uae/tossed-lighted-cigarette-caused-fire-in-al-baker-tower-1.1012778,25.3342,55.41221,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
18,HRF-0018,亚洲,Thailand,Bangkok,Fico Place fire,2012-03-03,2012,Fico Place高层建筑火灾；建筑高度记录为 未列明。死亡人数：0。Two firemen injured,未检索到/待核实,死亡人数：0。Two firemen injured,http://bangkok.coconuts.co/news/fico-blaze-prompts-bangkok-city-hall-sprinkler-initiative,13.75398,100.50144,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,HTTP错误(404),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
19,HRF-0019,亚洲,United Arab Emirates,Sharjah,Al Tayer Tower fire,2012-04-28,2012,Al Tayer Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://doi.org/10.1007%2F978-1-4939-2898-9_4,25.3342,55.41221,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires | https://web.archive.org/web/20121006223821/http://www.khaleejtimes.com/kt-article-display-1.asp?xfile=data%2Fnationgeneral%2F2012%2Fapril%2Fnationgeneral_april207.xml&section=nationgeneral,3,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200) | https://web.archive.org/web/20121006223821/http://www.khaleejtimes.com/kt-article-display-1.asp?xfile=data%2Fnationgeneral%2F2012%2Fapril%2Fnationgeneral_april207.xml&section=nationgeneral => 访问失败(URLError),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
20,HRF-0020,亚洲,Turkey,Istanbul,Polat Tower Residence fire,2012-07-17,2012,Polat Tower Residence高层建筑火灾；建筑高度记录为 140 m。死亡人数：0。,未检索到/待核实,死亡人数：0。,https://www.bbc.co.uk/news/world-europe-18867266,41.01384,28.94966,城市代表点（GeoNames；不是建筑精确坐标）,city_centroid,高层建筑火灾,未检索到,140 m,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires | https://news.sky.com/story/fire-tears-through-istanbul-tower-block-10475629,4,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200) | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200) | https://news.sky.com/story/fire-tears-through-istanbul-tower-block-10475629 => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
21,HRF-0021,亚洲,United Arab Emirates,Dubai,Saif Belhasa Building fire,2012-10-06,2012,Saif Belhasa Building高层建筑外立面火灾。死亡 0，受伤 2+；表中记录的受影响楼层为 9。,未检索到/待核实,死亡 0，受伤 2+；表中记录的受影响楼层为 9。,https://doi.org/10.1007%2F978-1-4939-2898-9_4,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,9,未检索到,0,2,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
22,HRF-0022,亚洲,United Arab Emirates,Dubai,Tamweel Tower fire,2012-11-18,2012,Tamweel Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 1。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 1。,https://doi.org/10.1007%2F978-1-4939-2898-9_4,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,160 m,1,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,http://www.emirates247.com/news/emirates/jlt-s-tamweel-tower-fire-residents-recount-waking-up-to-nightmare-2012-11-19-1.483506 | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,3,可访问(200),http://www.emirates247.com/news/emirates/jlt-s-tamweel-tower-fire-residents-recount-waking-up-to-nightmare-2012-11-19-1.483506 => 受限(403) | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
23,HRF-0023,亚洲,China,Guangzhou,Guangzhou Jianye Building Fire,2013-04-03,2013,Guangzhou Jianye Building Fire高层建筑火灾；建筑高度记录为 未列明。死亡人数：0。,未检索到/待核实,死亡人数：0。,https://en.wikipedia.org/wiki/Guangzhou_Jianye_Building_Fire?action=edit&redlink=1,23.11667,113.25,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,0,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,HTTP错误(404),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
24,HRF-0024,亚洲,United Arab Emirates,Sharjah,Al Hafeet Tower 2 fire,2013-04-22,2013,Al Hafeet Tower 2高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 10。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 10。,https://www.emirates247.com/news/emirates/sharjah-al-hafeet-tower-fire-three-arrested-2013-04-23-1.503726,25.3342,55.41221,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,10,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,受限(403),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
25,HRF-0025,亚洲,India,Mumbai,Lotus Park building fire,2014-07-18,2014,Lotus Park building高层建筑火灾；建筑高度记录为 未列明。死亡人数：1。,未检索到/待核实,死亡人数：1。,http://us.india.com/loudspeaker/mumbai-fire-fireman-killed-in-mumbai-high-rise-blaze-98392/,19.07283,72.88261,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,1,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,访问失败(RemoteDisconnected),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
26,HRF-0026,亚洲,United Arab Emirates,Dubai,The Marina Torch fire,2015-02-21,2015,The Marina Torch高层建筑外立面火灾。死亡 0，受伤 7；表中记录的受影响楼层为 60。,未检索到/待核实,死亡 0，受伤 7；表中记录的受影响楼层为 60。,https://www.telegraph.co.uk/news/worldnews/middleeast/dubai/11426566/Fire-rips-through-79-storey-Dubai-Marina-Torch.html,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,336.8 m,60,未检索到,0,7,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,3,可访问(206),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200) | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
