event_id,continent,country,location,event_name,event_date,event_summary,source_url,latitude,longitude,fire_type,building_use,building_height_or_floors,affected_floors,building_age_status,deaths,injuries,evacuated,cause,fire_spread,urban_fire_resilience_gap,impact,event_year,source_domain,source_grade,city_label_en,building_use_group,building_height_m_reported,building_storeys_reported,external_trigger,arson_trigger,construction_related,facade_fire,valid_geocode,possible_duplicate,analysis_extended,analysis_core,cohort_reason,source_file_sha256
HRF-0011,亚洲,Iraq,Baghdad,Al Rasheed Hotel fire,2003-12-26,Al Rasheed Hotel高层建筑火灾；建筑高度记录为 59.4 m。死亡人数：1。Twenty-eight 68 mm and 85 mm Katyusha rockets were fired at and struck the hotel,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,33.34058,44.40088,高层建筑火灾,hotel,59.4 m,未检索到,未检索到,1.0,,,Twenty-eight 68 mm and 85 mm Katyusha rockets were fired at and struck the hotel,未检索到/待核实,未检索到/待核实,死亡人数：1。Twenty-eight 68 mm and 85 mm Katyusha rockets were fired at and struck the hotel,2003,en.wikipedia.org,C,Baghdad,Hotel,59.4,,True,False,False,False,True,False,False,False,external_disaster_trigger,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0012,非洲,Egypt,Cairo,Nasr City high-rise fire and collapse,2004-01-26,开罗Nasr City一栋12层住宅商住楼底层商店起火后发生气瓶爆炸并整体坍塌。,https://elpais.com/internacional/2004/01/27/actualidad/1075158001_850215.html,30.056,31.33,high-rise mixed-use fire and collapse,住宅兼底层商业,12层；原许可约5层,未检索到,1981年建；约7层属违法加建,14.0,40.0,,底层电器/塑料商品店或地下储藏区起火；燃气瓶和其他可燃物随后爆炸,底层大量塑料、气瓶等可燃物推动火势并削弱结构,原建筑仅获批约5层，后违法加建约7层；此前曾有拆除/整改决定未落实，结构和监管失效促成坍塌,12层住宅商用楼在灭火期间坍塌；14人死亡，多数为消防员和警察；约40人受伤，相邻两栋楼疏散,2004,elpais.com,B,Cairo,Residential,,12.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0013,南美洲,Venezuela,Caracas,Parque Central East Tower fire,2004-10-17,Fire spread from approximately the 34th to the 50th floors of the 56-storey government office tower.,https://news.bbc.co.uk/2/hi/americas/3751790.stm,10.4983,-66.9022,high-rise building fire,政府办公楼,56层；约225米,17,约1983年完工,0.0,25.0,,最终点火原因未确定；起火点在约34层办公区,火势沿通风/竖向路径从34层蔓延至约50层以上,自动喷淋长期维护不良且未正常工作；消防竖管失效，供水和高层内攻受限,约17层严重烧损，火灾持续超过15小时；无死亡，约25人受伤，经济损失巨大,2004,news.bbc.co.uk,B,Caracas,Office/government,225.0,56.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0014,北美洲,United States,"Chicago, Illinois",LaSalle Bank Building fire,2004-12-07,Fire originated on the 29th floor of a 45-storey downtown office tower.,https://www.cbsnews.com/news/37-hurt-in-chicago-skyscraper-fire/,41.881,-87.632,high-rise building fire,office/bank,45 floors; 163.1 m,未检索到,completed 1934; older high-rise,0.0,25.0,,under investigation in contemporary reports,未检索到/待核实,未检索到/待核实,"No deaths; CTIF lists 25 injuries, while CBS/AP reported 37 hurt.",2004,cbsnews.com,B,Chicago,Office/government,163.1,45.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0015,欧洲,United Kingdom,Hertfordshire,Harrow Court fire,2005-02-02,Harrow Court高层建筑火灾；建筑高度记录为 56.1 m。死亡人数：3。Harrow Court fire,https://en.wikipedia.org/wiki/Harrow_Court_fire,,,高层建筑火灾,未检索到,56.1 m,未检索到,未检索到,3.0,,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡人数：3。Harrow Court fire,2005,en.wikipedia.org,C,Hertfordshire,Unknown/other,56.1,,False,False,False,False,False,False,False,False,invalid_or_missing_geocode,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0016,欧洲,Spain,"AZCA, Madrid, Community of Madrid, Spain",Windsor Tower fire,2005-02-12,马德里温莎大厦夜间起火，火势沿高层扩展并造成上部楼层局部坍塌。,https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Publicaciones/Listado-de-Publicaciones/Incendio-Windsor-2005/?vgnextchannel=f1aebadb6b997010VgnVCM100000dc0ca8c0RCRD&vgnextfmt=default&vgnextoid=4575bba6308b6210VgnVCM2000000c205a0aRCRD,40.4462,-3.692,high-rise office fire,office,106 m / 32 storeys,32,completed 1979; demolished after fire,0.0,,,官方与工程资料通常认为火灾属意外且可能由电气故障触发；精确电气部件仍待查原始调查全文。,火灾在缺少完整喷淋覆盖的上部楼层跨越防火楼板，并造成大范围结构受热损伤。,高层改造期间的消防分隔、喷淋覆盖和结构耐火连续性成为关键问题。,无死亡；大楼严重焚毁并拆除,2005,madrid.es,B,AZCA,Office/government,106.0,32.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0017,欧洲,Germany,Berlin,Treskowstrasse Pankow Flats fire,2005-04-21,Treskowstrasse Pankow Flats高层建筑外立面火灾。死亡 2，受伤 3；表中记录的受影响楼层为 5。,https://doi.org/10.1007%2F978-1-4939-2898-9_4,52.52437,13.41053,高层建筑外立面火灾,residential,未检索到,5,未检索到,2.0,3.0,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡 2，受伤 3；表中记录的受影响楼层为 5。,2005,doi.org,A,Berlin,Residential,,,False,False,False,True,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0018,亚洲,Iran,Tehran,Tohid Town Residential fire,2005-12-06,Tohid Town Residential高层建筑火灾；建筑高度记录为 33 m。死亡人数：106。Plane crash: 2005 Iranian Air Force C-130 crash,https://www.aljazeera.com/news/2005/12/6/toll-rises-in-iran-military-aircraft-crash,35.69439,51.42151,高层建筑火灾,residential,10层，约33 m,未检索到,未检索到/待核实,106.0,,,伊朗空军C-130运输机坠撞10层住宅楼后引发火灾，属于外部航空事故触发，并非建筑内部起火,航空燃油及撞击导致爆炸和建筑火灾,不适用于一般建筑火灾致因分析；建筑消防系统信息未检索到,106人死亡，其中94人在机上、12人在地面；住宅楼约250名居民受到威胁,2005,aljazeera.com,B,Tehran,Residential,33.0,10.0,True,False,False,False,True,False,False,False,external_disaster_trigger,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0019,亚洲,Kazakhstan,Astana,Transport Tower fire,2006-05-30,Transport Tower高层建筑火灾；建筑高度记录为 112.2 m。死亡人数：0。Fire destroyed upper floors of 34-story government building,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,51.1801,71.44598,高层建筑火灾,未检索到,112.2 m,未检索到,未检索到,0.0,,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡人数：0。Fire destroyed upper floors of 34-story government building,2006,en.wikipedia.org,C,Astana,Unknown/other,112.2,,False,False,False,False,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0020,北美洲,United States,"New York City, New York",Belaire Apartments aircraft-impact fire,2006-10-11,A small aircraft struck the 50-storey residential tower and ignited a fire.,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,40.7684,-73.9557,high-rise building fire,residential,50 floors; 156 m,未检索到,completed 1988,2.0,21.0,,small aircraft collision,未检索到/待核实,未检索到/待核实,2 deaths and 21 injuries listed by CTIF.,2006,ctif.org,C,New York City,Residential,156.0,50.0,True,False,False,False,True,False,False,False,external_disaster_trigger,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0021,亚洲,United Arab Emirates,Dubai,Fortune Tower fire,2007-01-18,"Fortune Tower高层建筑火灾；建筑高度记录为 未列明。死亡人数：4。Occurred during construction, 57 injured",https://gulfnews.com/uae/flame-welding-blamed-for-deadly-tower-blaze-1.159706,25.07725,55.30927,高层建筑火灾,未检索到,在建高层；起火点10层，建筑总层数待核实,未检索到,在建建筑，不适用楼龄,4.0,57.0,,施工人员未获热作许可，在10层使用火焰焊接；燃烧物落到含木材的脚手架并起火,脚手架木材及竖向管井/施工空间促进火势发展,无热作许可证、现场未按热作要求配置灭火器；在建工程管理失效,4人死亡、57人受伤,2007,gulfnews.com,B,Dubai,Unknown/other,,10.0,False,False,True,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0022,亚洲,中国 / China,"上海环球金融中心，浦东新区，上海市 / Shanghai World Financial Center, Pudong New Area, Shanghai",上海环球金融中心在建工程火灾 / Shanghai World Financial Center construction fire,2007-08-14,在建上海环球金融中心40层附近电梯井起火，无人员伤亡。,https://www.chinanews.com.cn/sh/news/2007/08-14/1002088.shtml,31.22222,121.45806,在建高层建筑火灾,在建超高层综合楼,设计高度492米、101层；起火点在40层附近电梯井,40层附近电梯井,未检索到,0.0,0.0,,施工电焊引燃40层附近电梯井内杂物；报道注明为初步勘查结论,在建超高层内部电梯井及施工杂物形成燃烧条件,在建超高层的临时消防与高空扑救条件增加处置难度,无人员伤亡；施工人员全部疏散,2007,chinanews.com.cn,B,Shanghai,Mixed use,492.0,101.0,False,False,True,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0023,北美洲,United States,"New York City, New York",Deutsche Bank Building fire,2007-08-18,Fire occurred in a damaged office high-rise while it was being dismantled after 9/11 damage.,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,40.7108,-74.0138,high-rise building fire,former office; under deconstruction,about 39-41 floors; 157.6 m,未检索到,completed 1974; severely damaged and being dismantled,2.0,115.0,,smoking materials were identified in investigations,未检索到/待核实,未检索到/待核实,2 firefighter deaths; CTIF lists 115 injuries.,2007,ctif.org,C,New York City,Office/government,157.6,41.0,False,False,False,False,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0024,北美洲,United States,"Atlantic City, New Jersey",Water Club Tower construction fire,2007-09-23,A facade/construction fire affected the 44-storey hotel tower while it was being built.,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,39.3786,-74.4351,high-rise building fire,hotel; under construction,44 floors; 125.4 m,39,under construction,0.0,0.0,,construction-related ignition; exact cause needs primary report,未检索到/待核实,未检索到/待核实,No deaths; facade-fire list records no injuries.,2007,ctif.org,C,Atlantic City,Hotel,125.4,44.0,False,False,True,True,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0025,北美洲,United States,"Las Vegas, Nevada",Monte Carlo Resort and Casino facade fire,2008-01-25,Exterior fire affected upper floors of the 32-storey hotel-casino tower.,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,36.1031,-115.1765,high-rise building fire,hotel/casino,32 floors; about 110 m,4,opened 1996,0.0,13.0,,welding operations were reported as the likely ignition source,未检索到/待核实,未检索到/待核实,No deaths; CTIF lists 13 injuries.,2008,ctif.org,C,Las Vegas,Hotel,110.0,32.0,False,False,False,True,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0026,欧洲,The Netherlands,Delft,TU Delft Faculteitsgebouw Bouwkunde fire,2008-04-13,"TU Delft Faculteitsgebouw Bouwkunde高层建筑火灾；建筑高度记录为 56 m。死亡人数：0。A broken water pipe on the 8th floor caused a short circuit in a coffee machine a floor below, resulting in a fire. The building was demolished afterwards.",https://architectenweb.nl/nieuws/artikel.aspx?ID=14108,52.00667,4.35556,高层建筑火灾,education,56 m,未检索到,未检索到,0.0,,,"A broken water pipe on the 8th floor caused a short circuit in a coffee machine a floor below, resulting in a fire.",未检索到/待核实,未检索到/待核实,"死亡人数：0。A broken water pipe on the 8th floor caused a short circuit in a coffee machine a floor below, resulting in a fire. The building was demolished afterwards.",2008,architectenweb.nl,B,Delft,Unknown/other,56.0,,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0027,欧洲,Netherlands,De Punt,De Punt fire,2008-05-09,De Punt fire高层建筑外立面火灾。死亡 3，受伤 0；表中记录的受影响楼层为 1。,https://en.wikipedia.org/wiki/De_Punt_fire,,,高层建筑外立面火灾,未检索到,未检索到,1,未检索到,3.0,0.0,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡 3，受伤 0；表中记录的受影响楼层为 1。,2008,en.wikipedia.org,C,De Punt,Unknown/other,,,False,False,False,True,False,False,False,False,invalid_or_missing_geocode,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0028,亚洲,Saudi Arabia,Mecca,Abraj Al Bait Towers fire,2008-10-28,Abraj Al Bait Towers高层建筑火灾；建筑高度记录为 601 m。死亡人数：0。Occurred during construction; fire consumed nine floors,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,21.42664,39.82563,高层建筑火灾,未检索到,601 m,未检索到,未检索到,0.0,,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡人数：0。Occurred during construction; fire consumed nine floors,2008,en.wikipedia.org,C,Mecca,Unknown/other,601.0,,False,False,True,False,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0029,亚洲,中国 / China,"央视新址配楼电视文化中心，朝阳区，北京市 / Beijing Television Cultural Center, Chaoyang District, Beijing",北京央视新址配楼电视文化中心火灾 / Beijing Television Cultural Center fire,2009-02-09,北京央视新址配楼电视文化中心发生外立面火灾，造成1名消防员死亡、7人受伤。,https://news.cctv.com/china/20090210/101207.shtml,39.9075,116.39723,高层建筑外立面火灾,未检索到,约159 m，30层；在建,多层外立面；具体受影响楼层数待核实,在建建筑，不适用楼龄,1.0,,,建设单位违规燃放大型烟花，烟花落入在建电视文化中心并引燃,外墙保温/装饰材料与强风等促进外立面快速蔓延,建设单位无视劝阻违规燃放烟花；在建高层外墙材料风险,1名消防员死亡，另有7人受伤（6名消防员和1名工地人员）,2009,news.cctv.com,A,Beijing,Unknown/other,159.0,30.0,False,False,True,True,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0030,亚洲,Bangladesh,Dhaka,Bashundhara City Tower fire,2009-03-13,Bashundhara City Tower高层建筑火灾；建筑高度记录为 62.7 m。死亡人数：4。,https://dhakamirror.com/source-cause-of-fire-not-known/,23.7104,90.40744,高层建筑火灾,未检索到,20层；起火约在17/18层并影响多个上部楼层,未检索到,商场2004年开业，事发约5年，不属老旧楼宇,7.0,20.0,,政府调查委员会未能确定起火源和起火原因,火从上部办公楼层向上下多层蔓延；管井、缝隙等竖向通道被研究认为促进蔓延,报警约延迟1小时；消防水池缺水、自动消防系统失效或管理不到位,7人死亡、20人受伤；原表4人死亡应修正,2009,dhakamirror.com,B,Dhaka,Unknown/other,,20.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0031,亚洲,Saudi Arabia,Mecca,Abraj Al Bait Towers fire,2009-05-01,Abraj Al Bait Towers高层建筑火灾；建筑高度记录为 未列明。死亡人数：0。Occurred during construction,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,21.42664,39.82563,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,0.0,,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡人数：0。Occurred during construction,2009,en.wikipedia.org,C,Mecca,Unknown/other,,,False,False,True,False,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0032,欧洲,United Kingdom,"Camberwell, London, England, United Kingdom",Lakanal House fire,2009-07-03,伦敦Lakanal House高层住宅火灾造成6人死亡，火和烟跨楼层传播。,https://www.lambeth.gov.uk/about-council/transparency-open-data/lakanal-house-coroner-inquest,51.4745,-0.0876,high-rise residential fire,residential,14 storeys,0,completed 1959,6.0,,,9层住宅一台电视机电气故障起火。,不充分的防火分隔、改造形成的隐蔽通道和外墙板件使烟火超出起火单元传播。,建筑改造、风险评估、住户信息和留守原位策略的适用条件存在系统性缺陷。,6人死亡，多人受伤,2009,lambeth.gov.uk,A,Camberwell,Residential,,14.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0033,欧洲,Hungary,"Középszer Street, Miskolc, Borsod-Abaúj-Zemplén, Hungary",Középszer Street panel-building fire,2009-08-15,一栋10层板式住宅6层厨房起火，火焰和烟气沿外立面、管井及楼梯间向上扩散。,https://fireonline.it/wp-content/uploads/2018/07/GF_FireManual_165x235mm_8.9.2017.pdf,48.1035,20.7784,high-rise residential façade fire,residential,basement + ground floor + 10 upper floors,6,industrialized panel building; façade renovated in 2007,3.0,12.0,,6层住宅厨房起火；公开技术资料未进一步确定厨房内具体点火物。,入户门敞开、管井和楼梯烟气传播，以及外墙ETICS系统施工厚度不足（抹面层约2—3毫米而非要求5毫米）促进垂直蔓延。,外墙保温施工质量控制、防火分隔与竖向管井封堵不足。,3人死亡，另有12人烟气中毒。,2009,fireonline.it,B,Miskolc,Residential,,,False,False,False,True,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0034,欧洲,Netherlands,Utrecht,Rabobank Bestuurscentrum fire,2010-06-27,Rabobank Bestuurscentrum高层建筑火灾；建筑高度记录为 105 m。死亡人数：0。Occurred on the 25th and 26th floor during the construction. The exact cause of the fire has never been identified.,https://www.trouw.nl/nieuws/explosie-bij-brand-in-rabo-toren-utrecht~bd0429e0,,,高层建筑火灾,office/government,105 m,未检索到,未检索到,0.0,,,The exact cause of the fire has never been identified.,未检索到/待核实,未检索到/待核实,死亡人数：0。Occurred on the 25th and 26th floor during the construction. The exact cause of the fire has never been identified.,2010,trouw.nl,B,Utrecht,Office/government,105.0,,False,False,True,False,False,False,False,False,invalid_or_missing_geocode,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
HRF-0035,亚洲,United Arab Emirates,Sharjah,Al Kuwait Tower fire,2010-07-06,Al Kuwait Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 10。,https://doi.org/10.26616%2Fnioshfffacef201711,25.3342,55.41221,高层建筑外立面火灾,未检索到,未检索到,10,未检索到,0.0,0.0,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 10。,2010,doi.org,A,Sharjah,Unknown/other,,,False,False,False,True,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5
